TF_	TF_information	target	Target_info	interaction_type
ATF1	TF	IL10	Tar	Activation
ATF1	TF	LDHA	Tar	Unknown
ATF1	TF	MAP1LC3B	Tar	Activation
ATF1	TF	MITF	Tar	Activation
ATF1	TF	MITF	Tar	Unknown
ATF1	TF	MUC2	Tar	Unknown
ATF1	TF	NTS	Tar	Unknown
ATF1	TF	PCSK1	Tar	Activation
ATF1	TF	PLAUR	Tar	Unknown
ATF1	TF	SLC20A1	Tar	Activation
ATF1	TF	SLC22A8	Tar	Unknown
ATF1	TF	TGFB2	Tar	Activation
ATF1	TF	TH	Tar	Unknown
ATF1	TF	TOP2A	Tar	Unknown
ATF1	TF	USP7	Tar	Unknown
ATF2	TF	APOC3	Tar	Activation
ATF2	TF	ATF3	Tar	Activation
ATF2	TF	CCND1	Tar	Activation
ATF2	TF	CDKN1A	Tar	Unknown
ATF2	TF	CYP11B1	Tar	Unknown
ATF2	TF	CYP11B2	Tar	Unknown
ATF2	TF	DUSP1	Tar	Unknown
ATF2	TF	DUSP10	Tar	Unknown
ATF2	TF	FAS	Tar	Unknown
ATF2	TF	FASLG	Tar	Unknown
ATF2	TF	FN1	Tar	Unknown
ATF2	TF	KAT5	Tar	Repression
ATF2	TF	IFNB1	Tar	Activation
ATF2	TF	IFNB1	Tar	Unknown
ATF2	TF	IFNG	Tar	Activation
ATF2	TF	IMPDH2	Tar	Unknown
ATF2	TF	INS	Tar	Activation
ATF2	TF	INS	Tar	Unknown
ATF2	TF	ITGB8	Tar	Unknown
ATF2	TF	JUN	Tar	Activation
ATF2	TF	MAP3K1	Tar	Unknown
ATF2	TF	MMP2	Tar	Activation
ATF2	TF	NOS3	Tar	Repression
ATF2	TF	PCK1	Tar	Activation
ATF2	TF	PCK2	Tar	Unknown
ATF2	TF	PLAT	Tar	Activation
ATF2	TF	PLAU	Tar	Unknown
ATF2	TF	POLB	Tar	Activation
ATF2	TF	PTGS2	Tar	Unknown
ATF2	TF	RELA	Tar	Activation
ATF2	TF	RETN	Tar	Activation
ATF2	TF	ST3GAL5	Tar	Activation
ATF2	TF	TGFB2	Tar	Repression
ATF2	TF	TNF	Tar	Activation
ATF3	TF	ADIPOR1	Tar	Repression
ATF3	TF	ADIPOR2	Tar	Repression
ATF3	TF	AK4	Tar	Unknown
ATF3	TF	ASNS	Tar	Activation
ATF3	TF	ASNS	Tar	Unknown
ATF3	TF	CCL5	Tar	Unknown
ATF3	TF	CD82	Tar	Unknown
ATF3	TF	DDIT3	Tar	Activation
ATF3	TF	GDF15	Tar	Activation
ATF3	TF	ID1	Tar	Repression
ATF3	TF	IFNG	Tar	Activation
ATF3	TF	PCLAF	Tar	Unknown
ATF3	TF	LDLR	Tar	Repression
ATF3	TF	MMP2	Tar	Repression
ATF3	TF	PENK	Tar	Unknown
ATF3	TF	SELE	Tar	Repression
ATF3	TF	TP53	Tar	Unknown
ATF4	TF	APOE	Tar	Activation
ATF4	TF	ASNS	Tar	Activation
ATF4	TF	ASNS	Tar	Unknown
ATF4	TF	ATF3	Tar	Activation
ATF4	TF	ATF3	Tar	Unknown
ATF4	TF	ATG5	Tar	Activation
ATF4	TF	BGLAP	Tar	Unknown
ATF4	TF	CA9	Tar	Unknown
ATF4	TF	CCL2	Tar	Unknown
ATF4	TF	CEBPB	Tar	Activation
ATF4	TF	CHAC1	Tar	Activation
ATF4	TF	CXCL8	Tar	Unknown
ATF4	TF	DDIT3	Tar	Activation
ATF4	TF	DDIT3	Tar	Unknown
ATF4	TF	DDIT4	Tar	Activation
ATF4	TF	DDR2	Tar	Activation
ATF4	TF	DISC1	Tar	Unknown
ATF4	TF	F7	Tar	Unknown
ATF4	TF	FGF19	Tar	Activation
ATF4	TF	FGF21	Tar	Activation
ATF4	TF	HRK	Tar	Activation
ATF4	TF	HSPA5	Tar	Repression
ATF4	TF	IGFBP1	Tar	Activation
ATF4	TF	IL6	Tar	Unknown
ATF4	TF	IRF7	Tar	Repression
ATF4	TF	MAP1LC3B	Tar	Activation
ATF4	TF	MCL1	Tar	Unknown
ATF4	TF	NDC80	Tar	Activation
ATF4	TF	NUPR1	Tar	Activation
ATF4	TF	PLAU	Tar	Activation
ATF4	TF	PTGS2	Tar	Unknown
ATF4	TF	S100P	Tar	Unknown
ATF4	TF	SIGMAR1	Tar	Activation
ATF4	TF	SIRT1	Tar	Activation
ATF4	TF	SIRT1	Tar	Repression
ATF4	TF	SIRT2	Tar	Repression
ATF4	TF	TNFRSF10B	Tar	Unknown
ATF4	TF	TRIB3	Tar	Activation
ATF4	TF	TRIB3	Tar	Unknown
ATF4	TF	VEGFA	Tar	Activation
ATF4	TF	VEGFA	Tar	Unknown
ATF5	TF	BCL2	Tar	Activation
ATF5	TF	CCND3	Tar	Activation
ATF5	TF	CREB1	Tar	Activation
ATF5	TF	CYP2B6	Tar	Activation
ATF5	TF	DISC1	Tar	Unknown
ATF5	TF	EGR1	Tar	Unknown
ATF5	TF	ID1	Tar	Repression
ATF5	TF	SH2D1A	Tar	Unknown
ATF6	TF	ATP2A2	Tar	Unknown
ATF6	TF	BGLAP	Tar	Unknown
ATF6	TF	DDIT3	Tar	Unknown
ATF6	TF	DNAJC3	Tar	Activation
ATF6	TF	HSPA5	Tar	Unknown
ATF6	TF	MAFA	Tar	Repression
ATF6	TF	NR0B2	Tar	Activation
ATF6	TF	NUCB1	Tar	Activation
ATF6	TF	PDX1	Tar	Repression
ATF6	TF	RTN3	Tar	Activation
ATF6	TF	SRF	Tar	Unknown
ATF6	TF	STARD4	Tar	Activation
ATF6	TF	WBP1	Tar	Activation
ATF6	TF	XBP1	Tar	Unknown
ATF7	TF	ERBB2	Tar	Unknown
ATF7	TF	TAF12	Tar	Activation
ATM	TF	APLF	Tar	Unknown
ATM	TF	BAX	Tar	Activation
ATM	TF	BCL2	Tar	Repression
ATM	TF	CDKN1A	Tar	Unknown
ATM	TF	CFLAR	Tar	Activation
ATM	TF	CFLAR	Tar	Repression
ATM	TF	DUSP1	Tar	Activation
ATM	TF	FAS	Tar	Activation
ATM	TF	FOXM1	Tar	Activation
ATM	TF	GADD45A	Tar	Activation
ATM	TF	IGF1R	Tar	Unknown
ATM	TF	KLRK1	Tar	Activation
ATM	TF	MCL1	Tar	Activation
ATM	TF	MTF1	Tar	Unknown
ATM	TF	PBK	Tar	Unknown
ATM	TF	PCNA	Tar	Unknown
ATM	TF	PMAIP1	Tar	Repression
ATM	TF	PVR	Tar	Activation
ATM	TF	PVR	Tar	Repression
ATM	TF	SLC2A1	Tar	Repression
ATM	TF	SP1	Tar	Repression
ATM	TF	SP1	Tar	Unknown
ATM	TF	TERF1	Tar	Repression
ATM	TF	TNFRSF10B	Tar	Repression
ATM	TF	VEGFA	Tar	Repression
ATOH1	TF	HES6	Tar	Activation
ATOH1	TF	MUC2	Tar	Activation
ATRX	TF	HBA1	Tar	Repression
ATRX	TF	HBA2	Tar	Repression
BACH1	TF	HMOX1	Tar	Activation
BACH1	TF	HMOX1	Tar	Repression
BACH1	TF	MMP1	Tar	Activation
BACH2	TF	BCL2	Tar	Unknown
BACH2	TF	IL2	Tar	Unknown
BACH2	TF	XBP1	Tar	Repression
BARD1	TF	ESR1	Tar	Activation
BARX2	TF	ESR1	Tar	Unknown
BATF	TF	CD2	Tar	Unknown
BCL11A	TF	GATA1	Tar	Activation
BCL11A	TF	GATA1	Tar	Unknown
BCL3	TF	CTCF	Tar	Repression
BCL3	TF	EGFR	Tar	Activation
BCL3	TF	MYB	Tar	Unknown
BCL3	TF	NFKB1	Tar	Repression
BCL3	TF	NFKB1	Tar	Unknown
BCL3	TF	RELA	Tar	Unknown
BCL6	TF	BCL2L1	Tar	Repression
BCL6	TF	BCL6	Tar	Repression
BCL6	TF	CCND2	Tar	Repression
BCL6	TF	CD80	Tar	Repression
BCL6	TF	CDKN1A	Tar	Repression
BCL6	TF	CDKN2B	Tar	Repression
BCL6	TF	CHEK1	Tar	Repression
BCL6	TF	FCER2	Tar	Repression
BCL6	TF	HDAC7	Tar	Repression
BCL6	TF	IRF4	Tar	Repression
BCL6	TF	LITAF	Tar	Repression
BCL6	TF	MYC	Tar	Activation
BCL6	TF	NFKB1	Tar	Repression
BCL6	TF	PDCD2	Tar	Repression
BCL6	TF	PDCD2	Tar	Unknown
BCL6	TF	STAT3	Tar	Unknown
BCL6	TF	SUMO1	Tar	Repression
BCL6	TF	XBP1	Tar	Repression
BDP1	TF	MYC	Tar	Unknown
BDP1	TF	RB1	Tar	Unknown
BDP1	TF	TP53	Tar	Unknown
BHLHE41	TF	CCND1	Tar	Repression
BHLHE41	TF	MLH1	Tar	Repression
BIN1	TF	MYC	Tar	Unknown
BMI1	TF	TERT	Tar	Repression
BPTF	TF	HOXC8	Tar	Unknown
BRCA1	TF	AREG	Tar	Repression
BRCA1	TF	ASPM	Tar	Activation
BRCA1	TF	ATM	Tar	Activation
BRCA1	TF	BACH1	Tar	Unknown
BRCA1	TF	BRCA2	Tar	Unknown
BRCA1	TF	CASR	Tar	Unknown
BRCA1	TF	CCNB1	Tar	Unknown
BRCA1	TF	CCND1	Tar	Unknown
BRCA1	TF	CDH3	Tar	Repression
BRCA1	TF	CDH3	Tar	Unknown
BRCA1	TF	CDKN1A	Tar	Activation
BRCA1	TF	CDKN1A	Tar	Unknown
BRCA1	TF	CDKN1B	Tar	Activation
BRCA1	TF	CDKN1B	Tar	Unknown
BRCA1	TF	CTSD	Tar	Repression
BRCA1	TF	CXCL1	Tar	Repression
BRCA1	TF	CYP19A1	Tar	Activation
BRCA1	TF	CYP19A1	Tar	Unknown
BRCA1	TF	CYP1A1	Tar	Unknown
BRCA1	TF	CYP1B1	Tar	Unknown
BRCA1	TF	DDB2	Tar	Activation
BRCA1	TF	DDIT3	Tar	Activation
BRCA1	TF	E2F6	Tar	Repression
BRCA1	TF	EGFR	Tar	Repression
BRCA1	TF	EGR1	Tar	Unknown
BRCA1	TF	EP300	Tar	Activation
BRCA1	TF	EP300	Tar	Unknown
BRCA1	TF	ESR1	Tar	Activation
BRCA1	TF	FOS	Tar	Unknown
BRCA1	TF	FOXC1	Tar	Repression
BRCA1	TF	FOXC2	Tar	Repression
BRCA1	TF	FST	Tar	Activation
BRCA1	TF	GADD45A	Tar	Activation
BRCA1	TF	GADD45A	Tar	Repression
BRCA1	TF	GADD45A	Tar	Unknown
BRCA1	TF	HIF1A	Tar	Unknown
BRCA1	TF	HMGA2	Tar	Repression
BRCA1	TF	HNRNPA2B1	Tar	Repression
BRCA1	TF	HSPA5	Tar	Repression
BRCA1	TF	IFNA1	Tar	Activation
BRCA1	TF	IGF1	Tar	Repression
BRCA1	TF	IGF1R	Tar	Unknown
BRCA1	TF	IRF7	Tar	Activation
BRCA1	TF	IRF9	Tar	Activation
BRCA1	TF	JAK1	Tar	Unknown
BRCA1	TF	JAK2	Tar	Unknown
BRCA1	TF	KHSRP	Tar	Repression
BRCA1	TF	KRT17	Tar	Unknown
BRCA1	TF	KRT18	Tar	Unknown
BRCA1	TF	KRT5	Tar	Unknown
BRCA1	TF	MAD2L1	Tar	Activation
BRCA1	TF	MDC1	Tar	Unknown
BRCA1	TF	MDM2	Tar	Activation
BRCA1	TF	MYC	Tar	Unknown
BRCA1	TF	RNASEL	Tar	Activation
BRCA1	TF	S100A2	Tar	Activation
BRCA1	TF	SIRT1	Tar	Activation
BRCA1	TF	STAT1	Tar	Activation
BRCA1	TF	STAT2	Tar	Activation
BRCA1	TF	STAT3	Tar	Unknown
BRCA1	TF	TFF1	Tar	Repression
BRCA1	TF	TP63	Tar	Unknown
BRCA1	TF	VEGFA	Tar	Activation
BRCA1	TF	XPC	Tar	Unknown
BRCA2	TF	DMC1	Tar	Unknown
BRCA2	TF	PSMD3	Tar	Unknown
BRCA2	TF	PSMD6	Tar	Unknown
BRCA2	TF	RAD51	Tar	Unknown
BRD7	TF	BRD2	Tar	Activation
BRD7	TF	BRD3	Tar	Activation
BRD7	TF	E2F3	Tar	Repression
BRD7	TF	E2F3	Tar	Unknown
BRIP1	TF	BARD1	Tar	Unknown
BRIP1	TF	MLH1	Tar	Unknown
BRPF1	TF	ING5	Tar	Unknown
BRPF1	TF	MEAF6	Tar	Unknown
BTAF1	TF	DR1	Tar	Repression
BTAF1	TF	TBP	Tar	Repression
BTAF1	TF	TBP	Tar	Unknown
BTF3	TF	ABL2	Tar	Activation
BTF3	TF	ATM	Tar	Activation
BTF3	TF	EPHB2	Tar	Activation
BTF3	TF	HPSE2	Tar	Activation
BTF3	TF	MADCAM1	Tar	Repression
BTF3	TF	MRVI1	Tar	Repression
BTF3	TF	NFKB1	Tar	Repression
BTF3	TF	RRAS2	Tar	Repression
BTF3	TF	SSPN	Tar	Repression
BTG2	TF	CCND1	Tar	Repression
BTG2	TF	HRAS	Tar	Repression
BTG2	TF	KLK3	Tar	Repression
BTG2	TF	SPHK1	Tar	Activation
CBFA2T3	TF	TCF12	Tar	Unknown
CBFA2T3	TF	ZNF652	Tar	Repression
CBFB	TF	GATA1	Tar	Unknown
CBFB	TF	RUNX1	Tar	Unknown
CBFB	TF	RUNX2	Tar	Unknown
CBFB	TF	RUNX3	Tar	Unknown
CBX7	TF	CCNE1	Tar	Repression
CBX7	TF	CDH1	Tar	Activation
CBX8	TF	CDKN1A	Tar	Repression
CDC5L	TF	PLRG1	Tar	Unknown
CDCA7L	TF	MAOB	Tar	Repression
CDX1	TF	DSC2	Tar	Unknown
CDX1	TF	IRF2BP2	Tar	Unknown
CDX1	TF	KRT20	Tar	Unknown
CDX1	TF	PCNA	Tar	Activation
CDX1	TF	POSTN	Tar	Unknown
CDX1	TF	PPARG	Tar	Activation
CDX1	TF	PTGS2	Tar	Activation
CDX1	TF	TBP	Tar	Unknown
CDX2	TF	ABCB1	Tar	Unknown
CDX2	TF	ACAT2	Tar	Activation
CDX2	TF	APC	Tar	Activation
CDX2	TF	APC	Tar	Unknown
CDX2	TF	AXIN2	Tar	Activation
CDX2	TF	AXIN2	Tar	Unknown
CDX2	TF	CDH17	Tar	Activation
CDX2	TF	CDH17	Tar	Unknown
CDX2	TF	CDKN1A	Tar	Activation
CDX2	TF	CFTR	Tar	Activation
CDX2	TF	DSC2	Tar	Unknown
CDX2	TF	ELMO3	Tar	Activation
CDX2	TF	FUT2	Tar	Activation
CDX2	TF	GSK3B	Tar	Unknown
CDX2	TF	GSPT1	Tar	Unknown
CDX2	TF	GSTP1	Tar	Unknown
CDX2	TF	GUCY2C	Tar	Unknown
CDX2	TF	HEPH	Tar	Activation
CDX2	TF	IGFBP3	Tar	Repression
CDX2	TF	KLF4	Tar	Activation
CDX2	TF	KLF4	Tar	Unknown
CDX2	TF	LCT	Tar	Activation
CDX2	TF	MEP1A	Tar	Activation
CDX2	TF	MUC17	Tar	Unknown
CDX2	TF	MUC2	Tar	Activation
CDX2	TF	PTGS2	Tar	Repression
CDX2	TF	REG4	Tar	Unknown
CDX2	TF	SLC15A1	Tar	Activation
CDX2	TF	SLC9A2	Tar	Unknown
CDX2	TF	SP1	Tar	Unknown
CDX2	TF	TFF3	Tar	Activation
CDX2	TF	UGT1A10	Tar	Activation
CDX2	TF	UGT1A8	Tar	Activation
CDX2	TF	UGT2B15	Tar	Unknown
CDX2	TF	UGT2B17	Tar	Unknown
CDX2	TF	VDR	Tar	Unknown
CEBPA	TF	AFP	Tar	Unknown
CEBPA	TF	ALB	Tar	Unknown
CEBPA	TF	BCL2	Tar	Repression
CEBPA	TF	CCL2	Tar	Activation
CEBPA	TF	CD163	Tar	Unknown
CEBPA	TF	CRMP1	Tar	Unknown
CEBPA	TF	CSF1	Tar	Unknown
CEBPA	TF	CSF2RA	Tar	Unknown
CEBPA	TF	CSF3R	Tar	Activation
CEBPA	TF	CXCR2	Tar	Unknown
CEBPA	TF	CYP3A4	Tar	Unknown
CEBPA	TF	DEFA1	Tar	Unknown
CEBPA	TF	DEFA3	Tar	Unknown
CEBPA	TF	ELANE	Tar	Activation
CEBPA	TF	ELANE	Tar	Unknown
CEBPA	TF	F9	Tar	Activation
CEBPA	TF	FN1	Tar	Unknown
CEBPA	TF	GAPDH	Tar	Unknown
CEBPA	TF	HAMP	Tar	Activation
CEBPA	TF	HK3	Tar	Unknown
CEBPA	TF	HOMER3	Tar	Unknown
CEBPA	TF	HSD17B11	Tar	Activation
CEBPA	TF	HSPA4	Tar	Activation
CEBPA	TF	ICAM1	Tar	Unknown
CEBPA	TF	ID1	Tar	Unknown
CEBPA	TF	IGF1	Tar	Activation
CEBPA	TF	IGF2	Tar	Unknown
CEBPA	TF	IL10	Tar	Unknown
CEBPA	TF	IL3	Tar	Unknown
CEBPA	TF	IL5	Tar	Unknown
CEBPA	TF	IL6	Tar	Unknown
CEBPA	TF	INSR	Tar	Activation
CEBPA	TF	ITGAX	Tar	Activation
CEBPA	TF	LEP	Tar	Activation
CEBPA	TF	MAD1L1	Tar	Unknown
CEBPA	TF	MSR1	Tar	Unknown
CEBPA	TF	MYC	Tar	Repression
CEBPA	TF	PCK1	Tar	Unknown
CEBPA	TF	PCK2	Tar	Unknown
CEBPA	TF	PRL	Tar	Unknown
CEBPA	TF	S100A9	Tar	Activation
CEBPA	TF	SAA1	Tar	Unknown
CEBPA	TF	SERPINC1	Tar	Activation
CEBPA	TF	SFTPD	Tar	Activation
CEBPA	TF	SLC10A1	Tar	Unknown
CEBPA	TF	SOCS3	Tar	Activation
CEBPA	TF	SPI1	Tar	Unknown
CEBPA	TF	SPP1	Tar	Activation
CEBPA	TF	STAR	Tar	Activation
