Hugo Symbol	Is Oncogene	Is Tumor Suppressor Gene	OG_TSG
SDHC	No	Yes	TSG
SDHD	No	Yes	TSG
SOX2	Yes	No	OG
SPEN	No	Yes	TSG
SRC	Yes	No	OG
SRSF2	No	No	None
STAT3	Yes	No	OG
SUFU	No	Yes	TSG
SYK	Yes	No	OG
TENT5C	No	Yes	TSG
TGFBR2	No	Yes	TSG
TMPRSS2	No	No	None
TNFRSF14	No	Yes	TSG
TSC2	No	Yes	TSG
TSHR	Yes	No	OG
XPO1	Yes	No	OG
AKT3	Yes	No	OG
ARAF	Yes	No	OG
ARID1B	No	Yes	TSG
AURKA	Yes	No	OG
AURKB	Yes	No	OG
AXL	Yes	No	OG
BCL10	No	Yes	TSG
BCORL1	No	Yes	TSG
BCR	Yes	No	OG
BIRC3	No	No	None
BLM	No	Yes	TSG
BTG1	No	Yes	TSG
CDK8	Yes	No	OG
CDKN2B	No	Yes	TSG
CHEK1	No	Yes	TSG
CRKL	Yes	No	OG
CYLD	No	Yes	TSG
DOT1L	Yes	No	OG
EED	No	Yes	TSG
EIF4A2	Yes	No	OG
EPHA3	No	Yes	TSG
EPHB1	No	Yes	TSG
ERCC4	No	Yes	TSG
ETV1	Yes	No	OG
FAS	No	Yes	TSG
FGF19	Yes	No	OG
FGF3	Yes	No	OG
FGF4	Yes	No	OG
FH	No	Yes	TSG
FLT1	Yes	No	OG
FLT4	Yes	No	OG
FOXO1	No	Yes	TSG
FOXP1	Yes	Yes	OG/TSG
GRIN2A	No	Yes	TSG
GSK3B	Yes	No	OG
HGF	Yes	No	OG
ID3	No	Yes	TSG
IGF1R	Yes	No	OG
IKBKE	Yes	No	OG
IL7R	Yes	No	OG
INPP4B	No	Yes	TSG
IRS2	Yes	No	OG
KLF4	Yes	Yes	OG/TSG
LMO1	Yes	No	OG
MALT1	No	No	None
MAP3K13	Yes	No	OG
MCL1	Yes	No	OG
MEF2B	Yes	No	OG
MRE11	No	Yes	TSG
MSH3	No	Yes	TSG
MSI2	Yes	No	OG
NBN	No	Yes	TSG
NCOR1	No	Yes	TSG
NFKBIA	No	Yes	TSG
NSD1	Yes	Yes	OG/TSG
NT5C2	Yes	No	OG
NTRK2	Yes	No	OG
P2RY8	No	Yes	TSG
PDCD1	Yes	No	OG
PIK3CB	Yes	No	OG
PMS2	No	Yes	TSG
POLD1	No	Yes	TSG
POLE	No	Yes	TSG
POT1	No	Yes	TSG
PPARG	Yes	No	OG
RAC1	Yes	No	OG
RAD51	No	Yes	TSG
RAD51B	No	Yes	TSG
RBM10	No	Yes	TSG
REL	Yes	No	OG
RHOA	Yes	No	OG
RICTOR	Yes	No	OG
RPTOR	Yes	No	OG
SETBP1	Yes	No	OG
SOX9	Yes	Yes	OG/TSG
STAT5B	Yes	No	OG
SUZ12	No	Yes	TSG
TBX3	No	Yes	TSG
TCF3	No	Yes	TSG
TERT	Yes	No	OG
TET1	No	Yes	TSG
TOP1	No	Yes	TSG
TP63	Yes	Yes	OG/TSG
TRAF7	No	No	None
ZRSR2	No	No	None
ACVR1	Yes	No	OG
ALOX12B	Yes	Yes	OG/TSG
AXIN2	No	Yes	TSG
BCL11B	No	Yes	TSG
BCL2L1	No	No	None
BMPR1A	No	Yes	TSG
CDKN1A	No	Yes	TSG
CIITA	No	Yes	TSG
CUL3	No	Yes	TSG
CUX1	No	Yes	TSG
DDX3X	No	Yes	TSG
DICER1	No	Yes	TSG
DIS3	No	Yes	TSG
DNAJB1	No	No	None
DNMT1	Yes	No	OG
DROSHA	No	No	None
EPAS1	No	No	None
EPHA5	No	No	None
EPHA7	Yes	Yes	OG/TSG
ERCC2	No	Yes	TSG
ERCC3	No	Yes	TSG
ERCC5	No	Yes	TSG
ERRFI1	No	Yes	TSG
ETV4	Yes	No	OG
ETV5	Yes	No	OG
EWSR1	Yes	No	OG
FANCD2	No	Yes	TSG
FAT1	No	Yes	TSG
FBXO11	No	Yes	TSG
FOXA1	Yes	Yes	OG/TSG
GLI1	Yes	No	OG
GNA13	Yes	No	OG
H1-2	No	No	None
H3-3B	No	No	None
HDAC1	Yes	No	OG
HLA-A	No	Yes	TSG
INHBA	Yes	Yes	OG/TSG
LATS1	No	Yes	TSG
LATS2	No	Yes	TSG
LYN	Yes	No	OG
MAF	No	No	None
MAP3K14	Yes	No	OG
MAX	No	Yes	TSG
MLLT1	No	No	None
MST1R	Yes	No	OG
MYOD1	No	Yes	TSG
NCOR2	No	No	None
NOTCH3	Yes	Yes	OG/TSG
NUP93	No	No	None
PARP1	No	Yes	TSG
PHOX2B	No	Yes	TSG
PIK3C2G	No	No	None
PIK3CG	Yes	No	OG
PIK3R2	No	Yes	TSG
PLCG2	Yes	No	OG
PPM1D	Yes	No	OG
PPP6C	No	Yes	TSG
PREX2	No	No	None
PRKCI	Yes	No	OG
PRKN	No	Yes	TSG
PTPRT	No	Yes	TSG
RAD50	No	Yes	TSG
RAD51C	No	Yes	TSG
RAD51D	No	Yes	TSG
RAD52	No	No	None
RAD54L	No	No	None
RECQL4	No	Yes	TSG
RUNX1T1	Yes	No	OG
SDHAF2	No	Yes	TSG
SGK1	Yes	No	OG
SH2B3	No	Yes	TSG
SMAD3	No	Yes	TSG
SMARCD1	No	No	None
STAT5A	Yes	No	OG
STAT6	Yes	No	OG
TBL1XR1	No	Yes	TSG
TCF7L2	No	Yes	TSG
TEK	No	No	None
TMEM127	No	Yes	TSG
TRAF2	No	No	None
VEGFA	Yes	No	OG
WWTR1	Yes	No	OG
XRCC2	No	Yes	TSG
ZFHX3	No	Yes	TSG
ABL2	Yes	No	OG
ABRAXAS1	No	Yes	TSG
AGO2	No	No	None
ANKRD11	No	Yes	TSG
ARID5B	No	Yes	TSG
ASXL2	No	Yes	TSG
ATF1	Yes	No	OG
BABAM1	No	No	None
BBC3	No	Yes	TSG
BCL2L11	No	Yes	TSG
BCL9	Yes	No	OG
CARM1	No	No	None
CCNQ	No	Yes	TSG
CD276	Yes	No	OG
CD58	No	Yes	TSG
CDC42	Yes	No	OG
CENPA	No	No	None
COP1	Yes	No	OG
CSDE1	No	No	None
CTLA4	Yes	No	OG
CYSLTR2	Yes	No	OG
DCUN1D1	Yes	No	OG
DDIT3	No	No	None
DEK	Yes	No	OG
DNMT3B	No	Yes	TSG
DTX1	No	Yes	TSG
DUSP22	No	Yes	TSG
DUSP4	No	Yes	TSG
E2F3	Yes	No	OG
EGFL7	Yes	No	OG
EIF1AX	No	No	None
EIF4E	Yes	No	OG
ELF3	Yes	Yes	OG/TSG
ELOC	No	No	None
EPCAM	No	Yes	TSG
ERF	No	Yes	TSG
ETNK1	No	No	None
EZH1	Yes	No	OG
FANCG	No	No	None
FANCL	No	Yes	TSG
FEV	No	No	None
FLI1	Yes	No	OG
FYN	Yes	No	OG
GNA12	Yes	No	OG
GNB1	Yes	No	OG
GPS2	No	Yes	TSG
GREM1	Yes	No	OG
H1-3	No	Yes	TSG
H1-4	Yes	No	OG
H2AC11	No	No	None
H2AC16	No	No	None
H2AC17	Yes	No	OG
H2AC6	No	No	None
H2BC11	No	No	None
H2BC12	No	No	None
H2BC17	No	No	None
H2BC4	No	No	None
H2BC5	No	No	None
H3-4	No	No	None
H3-5	No	No	None
H3C1	No	No	None
H3C10	No	No	None
H3C11	No	No	None
H3C12	No	No	None
H3C13	No	No	None
H3C14	No	No	None
H3C3	No	No	None
H3C4	No	No	None
H3C6	No	No	None
H3C7	No	No	None
H3C8	No	No	None
HDAC4	Yes	Yes	OG/TSG
HDAC7	Yes	No	OG
HIF1A	Yes	No	OG
HLA-B	No	Yes	TSG
HOXB13	Yes	Yes	OG/TSG
ICOSLG	Yes	No	OG
IFNGR1	No	Yes	TSG
IGF1	Yes	No	OG
IGF2	Yes	No	OG
IKZF3	Yes	Yes	OG/TSG
IL10	No	No	None
INHA	No	Yes	TSG
INPP4A	No	No	None
INPPL1	No	Yes	TSG
INSR	Yes	No	OG
IRF1	No	Yes	TSG
IRF8	No	Yes	TSG
IRS1	Yes	No	OG
JARID2	Yes	Yes	OG/TSG
KAT6A	No	No	None
KMT2B	No	Yes	TSG
KMT5A	No	No	None
KNSTRN	No	No	None
LCK	Yes	No	OG
LMO2	Yes	No	OG
LZTR1	No	Yes	TSG
MAFB	Yes	No	OG
MAPK3	Yes	No	OG
MAPKAP1	No	No	None
MDC1	No	No	None
MECOM	Yes	No	OG
MGA	No	Yes	TSG
MLLT10	Yes	No	OG
MSI1	Yes	No	OG
MST1	No	Yes	TSG
MTAP	No	Yes	TSG
MYB	No	No	None
NCOA3	Yes	No	OG
NCSTN	Yes	No	OG
NEGR1	No	No	None
NKX3-1	No	Yes	TSG
NOTCH4	Yes	Yes	OG/TSG
NR4A3	Yes	No	OG
NTHL1	No	Yes	TSG
NUF2	Yes	No	OG
NUP98	Yes	No	OG
NUTM1	No	No	None
PAK1	Yes	No	OG
PAK5	Yes	No	OG
PCBP1	No	No	None
PDGFB	Yes	No	OG
PDPK1	No	No	None
PGR	Yes	No	OG
PIK3C3	No	No	None
PIK3CD	Yes	No	OG
PIK3R3	No	Yes	TSG
PLCG1	Yes	No	OG
PLK2	No	No	None
PMAIP1	No	Yes	TSG
PMS1	No	Yes	TSG
PNRC1	No	No	None
PPP4R2	No	No	None
PRDM14	No	No	None
PRKD1	No	No	None
PTP4A1	No	No	None
PTPN2	No	Yes	TSG
PTPRD	No	Yes	TSG
PTPRS	No	Yes	TSG
RAB35	Yes	No	OG
RAC2	Yes	No	OG
RASA1	No	Yes	TSG
RBM15	Yes	Yes	OG/TSG
RECQL	No	Yes	TSG
RHEB	Yes	No	OG
RIT1	Yes	No	OG
RPS6KA4	Yes	No	OG
RPS6KB2	Yes	No	OG
RRAGC	Yes	No	OG
RRAS	Yes	No	OG
RRAS2	Yes	No	OG
RTEL1	No	Yes	TSG
RXRA	No	No	None
RYBP	No	Yes	TSG
SESN1	No	Yes	TSG
SESN2	No	Yes	TSG
SESN3	No	Yes	TSG
SETDB1	Yes	Yes	OG/TSG
SH2D1A	No	Yes	TSG
SHOC2	Yes	No	OG
SHQ1	No	Yes	TSG
SLX4	No	Yes	TSG
SMARCE1	Yes	Yes	OG/TSG
SMC1A	No	Yes	TSG
SMC3	No	Yes	TSG
SMYD3	Yes	No	OG
SOS1	Yes	No	OG
SOX17	No	Yes	TSG
SPRED1	No	Yes	TSG
SS18	Yes	No	OG
STK19	Yes	No	OG
STK40	No	No	None
TAL1	Yes	No	OG
TAP1	No	No	None
TAP2	No	No	None
TCL1A	Yes	No	OG
TFE3	Yes	No	OG
TGFBR1	No	Yes	TSG
TLX1	Yes	No	OG
TLX3	Yes	No	OG
TP53BP1	No	Yes	TSG
TRAF3	No	Yes	TSG
TRAF5	No	Yes	TSG
TYK2	Yes	No	OG
U2AF2	No	No	None
UBR5	Yes	No	OG
UPF1	No	No	None
USP8	Yes	No	OG
VTCN1	No	No	None
XBP1	Yes	No	OG
XIAP	Yes	No	OG
YAP1	Yes	No	OG
YES1	Yes	No	OG
ABI1	No	No	None
ACTG1	No	Yes	TSG
ACVR1B	No	No	None
AFDN	No	No	None
AFF1	No	No	None
AFF4	No	No	None
AGO1	Yes	No	OG
ALB	No	No	None
APLNR	Yes	Yes	OG/TSG
ARFRP1	No	No	None
ARHGAP26	No	No	None
ARHGAP35	Yes	Yes	OG/TSG
ARHGEF12	No	No	None
ARHGEF28	Yes	No	OG
ARID3A	No	Yes	TSG
ARID3B	Yes	No	OG
ARID3C	No	No	None
ARID4A	No	Yes	TSG
ARID4B	No	Yes	TSG
ARID5A	No	No	None
ARNT	No	No	None
ATIC	No	No	None
ATP6AP1	No	No	None
ATP6V1B2	No	Yes	TSG
ATXN2	No	Yes	TSG
ATXN7	Yes	No	OG
BACH2	No	Yes	TSG
BCL11A	No	No	None
BCL2L2	No	No	None
BCL3	No	No	None
BCL7A	No	No	None
BTG2	No	No	None
CAMTA1	No	No	None
CARS1	No	No	None
CBFA2T3	No	No	None
CD22	No	No	None
CD28	Yes	No	OG
CD70	No	No	None
CD74	No	No	None
CDX2	No	No	None
CEP43	No	No	None
CLTC	No	No	None
CLTCL1	No	No	None
CMTR2	No	Yes	TSG
CNTRL	No	No	None
COL1A1	No	No	None
CRBN	No	Yes	TSG
CREB1	Yes	No	OG
CREB3L1	No	No	None
CREB3L2	No	No	None
CTNNA1	No	No	None
CTR9	No	Yes	TSG
CYP19A1	Yes	No	OG
DDX10	No	No	None
DDX6	No	No	None
DNM2	No	No	None
EBF1	No	No	None
ECT2L	No	Yes	TSG
EGR1	No	Yes	TSG
ELF4	No	No	None
ELL	No	No	None
EML4	No	No	None
EMSY	No	No	None
EP400	No	Yes	TSG
EPOR	Yes	No	OG
EPS15	No	No	None
ESCO2	No	Yes	TSG
ETAA1	No	Yes	TSG
EZHIP	Yes	No	OG
EZR	No	No	None
FANCE	No	No	None
FANCF	No	No	None
FCGR2B	No	No	None
FCRL4	No	No	None
FGF10	No	No	None
FGF14	No	No	None
FGF23	No	No	None
FGF6	No	No	None
FHIT	No	No	None
FOXF1	Yes	Yes	OG/TSG
FOXO3	No	No	None
FOXO4	No	No	None
FSTL3	No	No	None
FURIN	Yes	No	OG
FUS	No	No	None
GAB1	Yes	No	OG
GAB2	Yes	No	OG
GAS7	No	No	None
GID4	No	No	None
GPHN	No	No	None
GTF2I	Yes	No	OG
H1-5	No	Yes	TSG
H2BC8	No	No	None
H4C9	No	No	None
HERPUD1	No	No	None
HEY1	No	No	None
HIP1	No	No	None
HLA-C	No	Yes	TSG
HLF	No	No	None
HMGA1	No	No	None
HMGA2	No	No	None
HOXA11	No	No	None
HOXA13	No	No	None
HOXA9	No	No	None
HOXC11	No	No	None
HOXC13	No	No	None
HOXD11	No	No	None
HOXD13	No	No	None
HSP90AA1	No	No	None
HSP90AB1	No	No	None
IGH	No	No	None
IGK	No	No	None
IGL	No	No	None
IL21R	No	No	None
IL3	Yes	No	OG
IL6ST	Yes	No	OG
ITK	No	No	None
KBTBD4	No	No	None
KDSR	No	No	None
KIF5B	No	No	None
KLF5	Yes	No	OG
KLHL6	No	No	None
KSR2	Yes	No	OG
LASP1	No	No	None
LEF1	No	No	None
LPP	No	No	None
LRP1B	No	No	None
LTB	Yes	Yes	OG/TSG
LYL1	No	No	None
MAD2L2	Yes	Yes	OG/TSG
MGAM	Yes	No	OG
MLF1	No	No	None
MLLT3	No	No	None
MLLT6	No	No	None
MN1	No	No	None
MOB3B	No	Yes	TSG
MPEG1	No	No	None
MRTFA	No	No	None
MSN	No	No	None
MUC1	No	No	None
MYH11	No	No	None
MYH9	No	No	None
NADK	Yes	No	OG
NCOA2	No	No	None
NDRG1	No	No	None
NFE2	Yes	No	OG
NFKB2	No	No	None
NIN	No	No	None
NRG1	Yes	No	OG
NUMA1	No	No	None
NUP214	No	No	None
NUTM2A	No	No	None
PAFAH1B2	No	No	None
PAX3	No	No	None
PAX7	No	No	None
PAX8	Yes	No	OG
PBX1	No	No	None
PCM1	No	No	None
PDE4DIP	No	No	None
PDK1	No	No	None
PDS5B	No	Yes	TSG
PER1	No	No	None
PGBD5	Yes	No	OG
PICALM	No	No	None
PIGA	No	Yes	TSG
PLAG1	No	No	None
PML	No	No	None
POU2AF1	No	No	None
PPP2R2A	No	Yes	TSG
PRDM16	No	No	None
PRKACA	Yes	No	OG
PRRX1	No	No	None
PSIP1	No	No	None
PTPN1	Yes	Yes	OG/TSG
PTPRO	No	No	None
QKI	No	No	None
RABEP1	No	No	None
RAP1GDS1	No	No	None
RELN	No	No	None
REST	No	Yes	TSG
RHOH	No	No	None
RNF213	No	No	None
ROBO1	No	Yes	TSG
RPL22	No	No	None
RPN1	No	No	None
RSPO2	No	No	None
SAMHD1	No	Yes	TSG
SCG5	Yes	No	OG
SDC4	No	No	None
SERPINB3	Yes	Yes	OG/TSG
SERPINB4	No	No	None
SET	No	No	None
SETD1A	Yes	No	OG
SETD1B	No	No	None
SETD3	No	No	None
SETD4	No	No	None
SETD5	No	No	None
SETD6	No	No	None
SETD7	No	No	None
SETDB2	No	Yes	TSG
SH3GL1	No	No	None
SLC34A2	No	No	None
SLFN11	No	Yes	TSG
SMARCA2	No	Yes	TSG
SMG1	No	Yes	TSG
SOCS3	No	Yes	TSG
SP140	No	Yes	TSG
SPRTN	No	Yes	TSG
SRSF3	No	No	None
SSX1	No	No	None
SSX2	No	No	None
SSX4	No	No	None
STAG1	No	Yes	TSG
TAF15	No	No	None
TAL2	No	No	None
TET3	No	Yes	TSG
TFG	No	No	None
TNFRSF17	No	No	None
TPM3	No	No	None
TPM4	No	No	None
TRA	Yes	No	OG
TRB	Yes	No	OG
TRD	Yes	No	OG
TRG	Yes	No	OG
TRIM24	No	No	None
TRIP11	No	No	None
TRIP13	Yes	Yes	OG/TSG
USP6	No	No	None
VAV1	Yes	No	OG
VAV2	Yes	No	OG
WIF1	No	Yes	TSG
ZBTB16	No	No	None
ZMYM2	No	No	None
ZNF217	No	No	None
ZNF384	No	No	None
ZNF521	No	No	None
ZNF703	No	No	None
ZNRF3	No	Yes	TSG
ACKR3	No	No	None
ACSL3	No	No	None
ACSL6	No	No	None
ACTB	No	No	None
ACVR2A	No	No	None
ADGRA2	No	No	None
AFF3	No	No	None
AJUBA	No	Yes	TSG
APH1A	No	No	None
APOBEC3B	No	No	None
ASMTL	No	No	None
ASPSCR1	No	No	None
ATG5	No	No	None
ATP1A1	No	No	None
ATP2B3	No	No	None
BAX	No	No	None
BCL9L	No	No	None
BRD3	No	No	None
BRSK1	No	No	None
BTLA	No	No	None
BUB1B	No	No	None
CACNA1D	No	No	None
CAD	No	No	None
CANT1	No	No	None
CBLB	No	No	None
CBLC	No	No	None
CCDC6	No	No	None
CCN6	No	No	None
CCNB1IP1	No	No	None
CCNB3	Yes	No	OG
CCT6B	No	No	None
CD36	No	No	None
CDH11	No	No	None
CHCHD7	No	No	None
CHD2	No	No	None
CHD4	No	No	None
CHIC2	No	No	None
CHN1	No	No	None
CILK1	No	No	None
CKS1B	No	No	None
CLIP1	No	No	None
CLP1	No	No	None
CNBP	No	No	None
CNOT3	No	No	None
COL2A1	No	No	None
CPS1	No	No	None
CRTC1	No	No	None
CRTC3	No	No	None
CSF1	No	No	None
CUL4A	No	No	None
CYP17A1	No	No	None
DAZAP1	No	No	None
DCTN1	No	No	None
DDB2	No	No	None
DDR1	No	No	None
DDX4	Yes	No	OG
DDX41	No	Yes	TSG
DDX5	No	No	None
DKK1	No	No	None
DKK2	No	No	None
DKK3	No	No	None
DKK4	No	No	None
DUSP2	No	No	None
DUSP9	No	No	None
EIF3E	No	No	None
ELK4	No	No	None
ELN	No	No	None
ELP2	No	No	None
EPHB4	No	No	None
ERC1	No	No	None
ETS1	No	No	None
EXOSC6	No	No	None
EXT1	No	No	None
EXT2	No	No	None
FAF1	No	No	None
FAT4	No	No	None
FBXO31	No	No	None
FES	No	No	None
FGF12	No	No	None
FIP1L1	No	No	None
FLYWCH1	No	No	None
FNBP1	No	No	None
FRS2	No	No	None
GABRA6	No	No	None
GADD45B	No	No	None
GATA4	No	No	None
GATA6	No	No	None
GMPS	No	No	None
GOLGA5	No	No	None
GOPC	No	No	None
GPC3	No	No	None
GRM3	No	No	None
GTSE1	No	No	None
H3C15	No	No	None
H3P6	No	No	None
HIRA	No	No	None
HNRNPA2B1	No	No	None
HOOK3	No	No	None
HOXA3	No	No	None
HSD3B1	No	No	None
IKBKB	No	No	None
IKZF2	No	No	None
IL2	No	No	None
INPP5D	No	No	None
IRF2	No	No	None
IRS4	No	No	None
JAZF1	No	No	None
KAT6B	No	No	None
KCNJ5	No	No	None
KDM2B	No	No	None
KDM4C	No	No	None
KEL	No	No	None
KLF2	No	Yes	TSG
KLF3	No	Yes	TSG
KLF6	No	No	None
KLK2	No	No	None
KNL1	No	No	None
KTN1	No	No	None
LARP4B	No	No	None
LCP1	No	No	None
LIFR	No	No	None
LMNA	No	No	None
LRIG3	No	No	None
LRP5	Yes	Yes	OG/TSG
LRP6	Yes	No	OG
LRRK2	No	No	None
LTK	No	No	None
MAGED1	No	No	None
MAML2	No	No	None
MAP3K6	No	No	None
MAP3K7	No	No	None
MBD6	No	Yes	TSG
MDS2	No	No	None
MEF2C	No	No	None
MEF2D	Yes	No	OG
MERTK	No	No	None
MIB1	No	No	None
MIDEAS	No	Yes	TSG
MKI67	No	No	None
MKNK1	No	No	None
MLLT11	No	No	None
MNX1	No	No	None
MTCP1	No	No	None
MYO18A	No	No	None
MYO5A	No	No	None
NAB2	No	No	None
NACA	No	No	None
NBEAP1	No	No	None
NCOA1	No	No	None
NCOA4	No	No	None
NFATC2	No	No	None
NFIB	No	No	None
NFKBIE	No	No	None
NOD1	No	No	None
NONO	No	No	None
NUTM2B	No	No	None
OLIG2	No	No	None
OMD	No	No	None
PAG1	No	No	None
PAK3	No	No	None
PARP2	No	No	None
PARP3	No	No	None
PASK	No	No	None
PATZ1	No	No	None
PC	No	No	None
PCLO	No	No	None
PCSK7	No	No	None
PDCD11	No	No	None
PHF1	No	No	None
PIK3C2B	No	No	None
POLG	No	No	None
POLQ	No	No	None
POU5F1	No	No	None
PPFIBP1	No	No	None
PPP1CB	No	No	None
PRCC	No	No	None
PRF1	No	No	None
PRKDC	No	No	None
PRSS1	No	No	None
PRSS8	No	No	None
PTK6	No	No	None
PTK7	No	No	None
PTPN13	No	No	None
PTPN6	No	No	None
PTPRB	No	No	None
PTPRC	No	No	None
PTPRK	No	No	None
RALGDS	No	No	None
RANBP2	No	No	None
RASGEF1A	No	No	None
RMI2	No	No	None
RNF217-AS1	No	No	None
RPL10	No	No	None
RPL5	No	No	None
RSPO3	No	No	None
RUNX2	No	No	None
S1PR2	No	No	None
SALL4	No	No	None
SBDS	No	No	None
SEC31A	No	No	None
SEPTIN5	No	No	None
SEPTIN6	No	No	None
SEPTIN9	No	No	None
SERP2	No	No	None
SFPQ	No	No	None
SFRP1	No	Yes	TSG
SFRP2	Yes	Yes	OG/TSG
SFRP4	No	No	None
SIX1	No	No	None
SLC1A2	No	No	None
SLC45A3	No	No	None
SMARCA1	No	No	None
SNCAIP	No	No	None
SND1	No	No	None
SNX29	No	No	None
SOCS2	No	No	None
SOX10	No	No	None
SS18L1	No	No	None
